NORAD_CAT_ID,RCS
1,20.42
3,0.08
5,0.122
8,11.84
11,0.3931
12,0.5266
16,0.2282
17,0.02
20,0.6412
22,0.5003
23,0.5778
27,0.0008
28,1.6017
29,0.803
45,0.4299
46,0.3501
50,0.594
51,0.5289
52,0.003
53,0.581
60,0.452
62,0.645
63,0.878
64,0.6288
74,0.1777
75,0.2325
80,0.0039
82,0.533
85,0.0504
99,0.0628
101,0.1132
107,0.4538
115,0.0471
116,0.7486
117,0.4239
119,0.2397
120,0.184
121,0.2591
122,0.324
123,0.1157
124,0.0983
125,0.042
126,0.319
127,0.3519
128,0.1654
129,0.1076
130,0.439
131,0.1233
132,0.254
133,0.6005
135,0.15
136,0.1039
137,0.0719
138,0.1008
139,0.3498
141,0.3
144,0.0791
145,0.1138
147,0.1196
148,0.124
149,0.0562
150,0.2067
152,0.235
153,0.0675
154,0.271
155,0.038
156,0.0803
157,0.35
158,0.1867
159,0.1792
161,0.1661
162,0.8244
165,0.4062
166,0.15
167,0.046
172,0.072
175,0.0544
176,0.0115
177,0.111
178,0.096
179,0.1259
188,0.5766
194,0.5854
195,0.5726
196,0.5559
205,0.5519
210,0.157
211,0.0907
212,0.3
216,0.15
222,0.0038
223,0.1407
224,0.122
225,0.0172
226,0.812
227,0.047
228,0.045
229,0.5271
230,0.0891
232,0.1811
233,0.1184
234,0.0529
235,0.0754
243,0.049
244,0.0508
245,0.1067
246,0.1262
250,0.0354
252,0.0769
253,0.045
254,0.058
255,1.73
260,0.0278
261,0.0421
262,0.0914
263,0.0425
264,0.159
265,0.0494
268,0.141
273,0.394
274,0.501
275,0.0871
277,0.02
282,0.0067
299,0.049
300,0.0592
301,0.0329
309,0.7711
311,0.621
312,0.0431
313,0.1537
317,0.0451
318,0.0475
319,0.1293
320,0.1102
323,0.048
324,0.0312
325,0.036
326,0.0168
327,0.038
329,0.05
330,0.0622
331,0.0312
333,0.0126
334,0.0542
335,0.017
336,0.04
337,0.0699
340,0.5046
341,0.4564
350,0.114
351,0.0082
353,0.046
354,0.0729
355,0.1285
356,0.068
357,0.052
366,0.05
369,0.3354
370,0.0157
374,0.0005
375,0.0018
378,0.0542
388,0.7934
389,0.66
397,0.7579
398,1.1709
399,0.0432
400,0.311
401,0.1526
402,0.042
403,0.0338
404,0.1279
405,0.067
406,0.0352
407,0.11
408,0.1288
409,0.0156
410,0.1102
411,0.0119
412,0.0202
413,0.1137
414,0.1118
415,0.1324
416,0.061
417,0.0298
418,0.1204
419,0.036
420,0.035
421,0.0507
446,0.8349
461,0.106
462,0.087
463,0.0416
464,0.1804
465,0.0565
466,0.0631
467,0.0388
468,0.0776
469,0.0543
470,0.0161
471,0.0197
472,0.0924
474,0.038
475,0.05
476,0.0818
477,0.0311
478,0.0192
479,0.044
480,0.0205
503,0.9221
506,0.599
509,2.5358
510,0.019
511,0.0194
515,0.4635
516,0.132
519,1.2036
523,0.0643
530,0.0608
532,0.7044
533,0.8753
534,0.6518
536,0.0436
537,0.0361
538,0.056
539,0.0811
540,0.061
541,0.0301
542,0.1594
543,0.0399
544,0.055
545,0.0558
546,0.02
547,0.0764
548,0.0268
549,0.0688
550,0.07
551,0.0311
552,0.0338
553,0.0339
556,0.0518
558,0.0427
559,0.0078
560,0.029
561,0.1011
573,0.476
575,0.4444
579,0.1853
594,3.4392
602,0.5152
603,0.7935
604,1.3081
605,0.3311
606,0.13
607,0.1127
608,0.7286
610,0.1369
612,1.0952
614,0.414
623,0.32
625,0.8974
628,0.4595
630,0.5078
631,0.4979
634,2.1538
635,0.0859
643,0.0555
644,0.0523
645,0.0623
647,0.0373
648,0.072
649,0.0734
650,0.0309
651,0.04
652,0.0155
653,0.0584
655,0.0102
656,0.0189
657,0.0749
658,0.086
659,0.0565
660,0.0072
661,0.0246
662,0.051
670,0.7391
672,0.0299
674,0.003
683,8.3325
692,2.0
696,1.2012
697,0.2253
698,0.2996
699,0.1371
700,0.4914
701,0.522
702,0.8261
706,0.0541
714,9.9821
715,0.0166
716,0.7475
717,0.7528
720,0.0453
721,0.6627
722,0.0491
723,0.0341
724,0.026
726,0.0446
728,0.367
729,0.2342
730,0.4252
731,0.5096
732,0.055
734,0.3186
735,0.3221
736,0.0245
737,0.7637
738,0.5191
739,0.2872
742,0.9107
743,0.96
745,0.06
748,3.9388
750,0.1614
751,11.0575
753,0.0606
785,0.0091
786,903.0
805,0.045
806,0.0423
809,0.3358
812,0.341
813,0.3239
830,8.3468
831,0.1404
832,30.3607
836,0.9885
837,0.003
840,0.0372
841,0.0351
843,0.0112
851,0.3548
858,2.5119
862,0.6552
869,5.6235
870,0.4927
871,0.949
879,1.0
897,0.5248
898,12.9515
900,0.051
902,0.0457
903,0.0158
907,0.4375
924,1.1473
932,0.4829
933,0.5298
934,0.0424
935,0.0438
937,0.0333
940,0.0221
941,0.0208
956,0.0711
960,0.1242
963,0.67
966,0.22
967,0.0609
973,2.0399
976,0.0456
977,0.051
978,0.761
979,0.469
987,2.4324
988,0.7983
1002,0.6539
1087,0.0087
1088,35.7812
1097,12.3545
1098,10.2837
1099,0.5092
1208,0.1934
1244,0.4709
1268,0.31
1271,0.5652
1272,0.2365
1273,0.8268
1289,1.532
1291,0.4786
1292,0.7141
1293,0.2142
1298,0.0045
1310,4.4859
1312,0.0488
1313,0.0505
1315,0.172
1316,0.676
1317,0.7943
1318,0.7515
1324,32.186
1335,0.251
1345,0.7597
1347,0.231
1348,0.22
1349,0.0677
1358,0.4308
1360,0.5817
1361,0.8083
1370,0.121
1371,0.2846
1372,0.1188
1373,0.3906
1377,0.6255
1378,1.1795
1379,0.0131
1383,8.58
1385,28.4968
1389,0.6387
1392,0.1869
1399,0.0108
1425,0.5482
1430,0.7788
1433,0.5702
1435,0.018
1438,0.1024
1439,0.226
1440,0.079
1442,0.1952
1444,0.2418
1445,0.6933
1448,15.1656
1458,0.003
1459,0.003
1461,0.1964
1462,0.0666
1463,0.0766
1475,0.0293
1477,0.1066
1478,0.1264
1479,0.0977
1480,0.1255
1481,0.1258
1493,1.49
1495,0.01
1500,0.0084
1501,0.0155
1502,0.6525
1503,0.0025
1504,0.0482
1506,0.4169
1511,0.502
1512,0.068
1515,0.0479
1520,0.052
1521,0.0746
1522,0.479
1528,0.039
1529,0.044
1548,0.0393
1549,0.1084
1556,0.73
1557,0.0305
1564,0.0527
1566,0.0421
1570,0.341
1571,0.3453
1572,0.3179
1573,0.3564
1574,0.5348
1576,0.041
1577,0.2489
1580,0.5906
1583,0.654
1584,0.5763
1585,0.3528
1586,0.3282
1587,0.3455
1588,0.5559
1590,0.0374
1591,0.0599
1597,0.1121
1600,0.0954
1608,0.0197
1613,0.4921
1616,0.9836
1617,0.2194
1618,0.1053
1620,10.2338
1625,10.9583
1633,0.26
1634,0.0768
1640,0.9665
1641,0.7628
1643,0.21
1644,0.0483
1645,0.266
1647,0.35
1649,0.1091
