NORAD_CAT_ID,RCS,SOURCE
5,0.11,6
11,0.39,13
12,0.53,20
16,0.22,11
20,0.66,15
22,0.5,15
29,0.84,23
45,0.44,16
46,0.36,12
47,3.43,54
50,0.6,16
51,0.6,23
52,0.8,1
53,0.59,19
58,1.3,18
59,3.74,48
82,0.55,17
85,0.05,10
107,0.47,17
115,0.047,22
116,0.87,25
117,0.45,14
118,1.72,20
119,0.25,16
120,0.2,14
121,0.26,10
122,0.35,21
123,0.12,10
124,0.1,12
125,0.042,15
126,0.36,19
127,0.36,19
128,0.17,11
130,0.49,19
131,0.12,10
132,0.25,8
133,0.64,22
134,1.63,22
136,0.11,14
138,0.09,10
141,0.32,15
144,0.09,11
145,0.11,8
147,0.13,10
148,0.12,10
150,0.22,13
152,0.25,14
154,0.3,16
155,0.045,24
158,0.2,13
159,0.19,13
162,0.83,24
163,9.68,45
167,0.048,19
172,0.09,13
177,0.11,8
178,0.1,11
188,0.55,13
192,9.31,44
194,0.63,14
195,0.58,12
196,0.57,13
202,2.12,28
204,3.43,43
205,0.56,17
210,0.17,13
223,0.15,12
224,0.12,11
225,0.026,17
226,0.83,22
227,0.05,18
228,0.046,19
230,0.09,8
232,0.18,9
233,0.14,13
234,0.05,15
235,0.08,15
243,0.049,13
244,0.05,11
245,0.11,8
246,0.13,5
252,0.08,9
253,0.06,16
254,0.06,10
260,0.03,16
261,0.049,21
262,0.11,14
263,0.042,15
264,0.18,13
268,0.14,9
271,9,61
273,0.4,17
274,0.52,16
299,0.049,14
309,0.82,23
312,0.045,28
318,0.048,21
320,0.11,11
323,0.047,16
324,0.036,21
325,0.039,21
327,0.039,16
329,0.02,17
330,0.08,10
333,0.03,12
334,0.06,9
335,0.03,20
336,0.045,19
337,0.07,10
340,0.49,15
341,0.46,14
350,0.11,8
351,0.025,16
353,0.049,19
354,0.08,10
355,0.13,12
357,0.047,14
369,0.41,14
397,0.8,21
399,0.045,14
402,0.045,18
403,0.034,15
404,0.16,12
405,0.06,11
406,0.045,18
407,0.11,10
408,0.15,10
409,0.028,25
410,0.11,8
414,0.11,7
416,0.06,9
417,0.025,14
420,0.037,17
424,1.25,35
426,5.88,62
446,0.86,17
447,3.73,49
461,0.11,12
463,0.042,13
465,0.06,11
467,0.039,15
469,0.05,13
470,0.014,10
474,0.036,13
475,0.05,15
478,0.043,21
479,0.047,19
480,0.02,20
503,0.94,21
506,0.65,21
510,0.019,18
511,0.022,11
515,0.47,8
516,0.13,13
530,0.06,10
537,0.036,15
538,0.06,11
541,0.032,22
543,0.043,18
544,0.06,11
545,0.049,12
548,0.027,15
549,0.08,12
552,0.035,15
553,0.034,2
558,0.042,19
559,0.036,29
560,0.03,12
561,0.1,6
573,0.47,17
574,10.7,33
575,0.44,14
589,1.05,16
602,0.5,16
608,0.72,12
614,0.44,16
622,9.65,58
628,0.46,15
629,1.09,9
630,0.51,7
631,0.49,15
634,2.08,4
635,0.08,6
643,0.06,14
644,0.05,7
645,0.07,9
648,0.07,8
649,0.09,14
652,0.02,13
653,0.06,10
655,0.03,15
656,0.019,18
657,0.08,12
658,0.09,15
659,0.07,8
660,0.026,14
669,3.69,45
670,0.78,20
671,1.7,34
672,0.036,12
692,2,1
694,7.37,61
698,0.3,10
700,0.51,21
701,0.56,23
702,0.84,14
703,3.95,51
704,1.23,37
705,1.34,27
706,0.044,12
715,0.042,21
716,0.78,20
720,0.048,22
721,0.7,27
722,0.06,11
724,0.03,20
727,7.47,55
728,0.38,10
729,0.23,14
730,0.44,15
731,0.53,21
732,0.048,13
733,4.71,56
734,0.32,15
735,0.32,14
737,0.72,27
738,0.51,8
739,0.29,12
741,4.27,45
742,0.94,19
743,0.96,19
745,0.06,8
746,2.76,31
750,0.17,11
753,0.05,12
801,1.23,23
805,0.045,17
809,0.34,13
812,0.38,16
813,0.34,13
815,5.44,49
829,2.78,34
831,0.14,9
836,0.79,5
858,2.51,3
862,0.65,9
870,0.53,19
871,1.1,38
876,4.38,48
877,6,47
879,0.63,7
893,3.94,52
897,0.56,19
899,1.53,34
900,0.046,18
901,1.3,37
902,0.045,12
903,0.024,20
907,0.48,21
932,0.5,16
933,0.61,33
953,3.72,54
956,0.08,10
959,1.58,42
963,0.68,15
965,1.09,26
967,0.047,12
976,0.046,14
977,0.048,15
978,0.8,24
979,0.47,14
1000,3.25,46
1001,10.9,24
1002,0.64,12
1099,0.55,14
1208,0.21,14
1244,0.48,13
1245,5.57,57
1271,0.61,18
1272,0.21,13
1291,0.5,14
1292,0.82,30
1293,0.23,16
1312,0.048,14
1313,0.047,12
1314,5.91,63
1315,0.21,13
1316,0.89,47
1317,0.79,6
1318,0.74,11
1328,2.16,41
1335,0.28,17
1358,0.46,20
1359,15.3,20
1360,0.56,10
1361,0.79,14
